Country,2013,Abb
Albania,5.2,ALB
Algeria,<5,DZA
Angola,19.1,AGO
Argentina,<5,ARG
Bangladesh,19.4,BGD
Benin,13.3,BEN
Bolivia,11.2,BOL
Botswana,13.9,BWA
Brazil,<5,BRA
Bulgaria,<5,BGR
Burkina Faso,22.2,BFA
Cambodia,16.8,KHM
Cameroon,14.5,CMR
Central African Rep.,23.3,CAF
Chad,26.9,TCD
Chile,<5,CHL
China,5.5,CHN
Colombia,5.9,COL
Comoros,33.6,COM
"Congo, Rep.",20.5,COG
Costa Rica,<5,CRI
Croatia,<5,HRV
Cuba,<5,CUB
Djibouti,19.5,DJI
Dominican Republic,7,DOM
Ecuador,8.5,ECU
"Egypt, Arab Rep.",<5,EGY
El Salvador,6.8,SLV
Eritrea,35,ERI
Estonia,<5,EST
Ethiopia,25.7,ETH
Fiji,<5,FJI
Gabon,7.2,GAB
"Gambia, The",14,GMB
Georgia,9.3,GEO
Ghana,8.2,GHA
Guatemala,15.5,GTM
Guinea,16.9,GIN
Guinea-Bissau,14.3,GNB
Guyana,6.6,GUY
Haiti,23.3,HTI
Honduras,7.9,HND
India,21.3,IND
Indonesia,10.1,IDN
"Iran, Islamic Rep.",<5,IRN
Jamaica,<5,JAM
Jordan,<5,JOR
Kazakhstan,<5,KAZ
Kenya,18,KEN
Kuwait,<5,KWT
Kyrgyz Republic,<5,KGZ
Lao PDR,18.7,LAO
Latvia,<5,LVA
Lebanon,<5,LBN
Lesotho,12.9,LSO
Liberia,17.9,LBR
Libya,<5,LBY
Lithuania,<5,LTU
"Macedonia, FYR",<5,MKD
Madagascar,25.2,MDG
Malawi,15.1,MWI
Malaysia,5.5,MYS
Mali,14.8,MLI
Mauritania,13.2,MRT
Mauritius,5.2,MUS
Mexico,<5,MEX
Moldova,9.2,MDA
Mongolia,10.8,MNG
Montenegro,<5,MNE
Morocco,<5,MAR
Mozambique,21.5,MOZ
Namibia,18.4,NAM
Nepal,17.3,NPL
Nicaragua,9.5,NIC
Niger,20.3,NER
Nigeria,15,NGA
North Korea,18,PRK
Pakistan,19.3,PAK
Panama,5.4,PAN
Paraguay,10.1,PRY
Peru,5.5,PER
Philippines,13.2,PHL
Romania,<5,ROU
Russian Federation,<5,RUS
Rwanda,15.3,RWA
Saudi Arabia,<5,SAU
Senegal,13.8,SEN
Serbia,<5,SRB
Sierra Leone,22.8,SLE
Slovak Republic,<5,SVK
South Africa,5.4,ZAF
Sri Lanka,15.6,LKA
Sudan,27,SDN
Suriname,6.7,SUR
Swaziland,14.4,SWZ
Syrian Arab Republic,<5,SYR
Tajikistan,16.3,TJK
Tanzania,20.6,TZA
Thailand,5.8,THA
Togo,14.7,TGO
Trinidad & Tobago,<5,TTO
Tunisia,<5,TUN
Turkey,<5,TUR
Turkmenistan,<5,TKM
Uganda,19.2,UGA
Ukraine,<5,UKR
Uruguay,<5,URY
Uzbekistan,5.3,UZB
"Venezuela, RB",<5,VEN
Vietnam,7.7,VNM
"Yemen, Rep.",26.5,YEM
Zambia,24.1,ZMB
Zimbabwe,16.5,ZWE
